product_id,store_id,Cluster_HC,Cluster_KM,Cluster_Name
P0001,S001,0,3,Tồn kho cao
P0001,S002,3,1,Bán chạy
P0001,S003,1,0,Bán chậm
P0001,S004,0,3,Tồn kho cao
P0001,S005,1,0,Bán chậm
P0002,S001,1,0,Bán chậm
P0002,S002,1,0,Bán chậm
P0002,S003,2,2,Ổn định
P0002,S004,1,0,Bán chậm
P0002,S005,1,3,Bán chậm
P0003,S001,0,3,Tồn kho cao
P0003,S002,1,0,Bán chậm
P0003,S003,1,0,Bán chậm
P0003,S004,1,0,Bán chậm
P0003,S005,3,1,Bán chạy
P0004,S001,0,3,Tồn kho cao
P0004,S002,0,3,Tồn kho cao
P0004,S003,1,0,Bán chậm
P0004,S004,1,0,Bán chậm
P0004,S005,2,2,Ổn định
P0005,S001,1,0,Bán chậm
P0005,S002,1,3,Bán chậm
P0005,S003,3,1,Bán chạy
P0005,S004,0,3,Tồn kho cao
P0005,S005,0,3,Tồn kho cao
P0006,S001,1,0,Bán chậm
P0006,S002,2,2,Ổn định
P0006,S003,0,1,Tồn kho cao
P0006,S004,0,3,Tồn kho cao
P0006,S005,0,3,Tồn kho cao
P0007,S001,2,2,Ổn định
P0007,S002,2,2,Ổn định
P0007,S003,0,3,Tồn kho cao
P0007,S004,2,0,Ổn định
P0007,S005,0,3,Tồn kho cao
P0008,S001,0,2,Tồn kho cao
P0008,S002,1,0,Bán chậm
P0008,S003,1,0,Bán chậm
P0008,S004,1,3,Bán chậm
P0008,S005,1,0,Bán chậm
P0009,S001,1,3,Bán chậm
P0009,S002,3,1,Bán chạy
P0009,S003,0,3,Tồn kho cao
P0009,S004,2,2,Ổn định
P0009,S005,0,3,Tồn kho cao
P0010,S001,2,2,Ổn định
P0010,S002,2,2,Ổn định
P0010,S003,0,2,Tồn kho cao
P0010,S004,2,2,Ổn định
P0010,S005,0,3,Tồn kho cao
P0011,S001,2,2,Ổn định
P0011,S002,1,3,Bán chậm
P0011,S003,0,3,Tồn kho cao
P0011,S004,0,3,Tồn kho cao
P0011,S005,2,3,Ổn định
P0012,S001,2,0,Ổn định
P0012,S002,0,2,Tồn kho cao
P0012,S003,2,2,Ổn định
P0012,S004,1,0,Bán chậm
P0012,S005,0,3,Tồn kho cao
P0013,S001,1,0,Bán chậm
P0013,S002,1,0,Bán chậm
P0013,S003,3,1,Bán chạy
P0013,S004,1,0,Bán chậm
P0013,S005,0,3,Tồn kho cao
P0014,S001,2,2,Ổn định
P0014,S002,1,0,Bán chậm
P0014,S003,3,1,Bán chạy
P0014,S004,3,1,Bán chạy
P0014,S005,0,3,Tồn kho cao
P0015,S001,0,1,Tồn kho cao
P0015,S002,1,3,Bán chậm
P0015,S003,2,2,Ổn định
P0015,S004,0,3,Tồn kho cao
P0015,S005,3,1,Bán chạy
P0016,S001,1,0,Bán chậm
P0016,S002,0,3,Tồn kho cao
P0016,S003,3,1,Bán chạy
P0016,S004,3,1,Bán chạy
P0016,S005,0,3,Tồn kho cao
P0017,S001,0,3,Tồn kho cao
P0017,S002,1,0,Bán chậm
P0017,S003,0,1,Tồn kho cao
P0017,S004,1,2,Bán chậm
P0017,S005,0,3,Tồn kho cao
P0018,S001,0,3,Tồn kho cao
P0018,S002,0,2,Tồn kho cao
P0018,S003,1,0,Bán chậm
P0018,S004,1,0,Bán chậm
P0018,S005,1,0,Bán chậm
P0019,S001,2,2,Ổn định
P0019,S002,2,2,Ổn định
P0019,S003,0,3,Tồn kho cao
P0019,S004,0,3,Tồn kho cao
P0019,S005,2,2,Ổn định
P0020,S001,0,3,Tồn kho cao
P0020,S002,0,1,Tồn kho cao
P0020,S003,0,3,Tồn kho cao
P0020,S004,2,2,Ổn định
P0020,S005,2,2,Ổn định
